Gene stable ID	Transcript stable ID	STRING ID
Vitvi04g04250	Vitvi04g04250_t001	
Vitvi01g04043	Vitvi01g04043_t001	
Vitvi07g02005	Vitvi07g02005_t001	29760.VIT_07s0031g03210.t01
Vitvi14g04476	Vitvi14g04476_t001	
Vitvi10g00120	Vitvi10g00120_t001	
Vitvi10g04417	Vitvi10g04417_t001	
Vitvi05g01198	Vitvi05g01198_t001	
Vitvi18g02004	Vitvi18g02004_t001	
Vitvi12g00562	Vitvi12g00562_t001	
Vitvi10g00363	Vitvi10g00363_t001	
Vitvi09g04412	Vitvi09g04412_t001	
Vitvi14g01302	Vitvi14g01302_t001	29760.VIT_14s0083g00700.t01
Vitvi09g04610	Vitvi09g04610_t001	
Vitvi13g00297	Vitvi13g00297_t001	
Vitvi08g01153	Vitvi08g01153_t001	29760.VIT_08s0040g03250.t01
Vitvi07g01706	Vitvi07g01706_t001	
Vitvi07g01706	Vitvi07g01706_t002	29760.VIT_07s0031g00220.t01
Vitvi18g00534	Vitvi18g00534_t001	29760.VIT_18s0001g07700.t01
Vitvi07g00535	Vitvi07g00535_t001	29760.VIT_07s0005g02670.t01
Vitvi11g04113	Vitvi11g04113_t001	
Vitvi04g00350	Vitvi04g00350_t001	
Vitvi15g04602	Vitvi15g04602_t001	
Vitvi05g00568	Vitvi05g00568_t001	29760.VIT_05s0020g04150.t01
Vitvi10g04132	Vitvi10g04132_t001	
Vitvi18g03051	Vitvi18g03051_t001	29760.VIT_18s0117g00260.t01
Vitvi09g04137	Vitvi09g04137_t001	
Vitvi09g00753	Vitvi09g00753_t002	29760.VIT_09s0002g08370.t01
Vitvi09g00753	Vitvi09g00753_t001	29760.VIT_09s0002g08370.t01
Vitvi10g04263	Vitvi10g04263_t001	
Vitvi19g00991	Vitvi19g00991_t001	
Vitvi13g00878	Vitvi13g00878_t001	
Vitvi07g01924	Vitvi07g01924_t001	
Vitvi05g01082	Vitvi05g01082_t001	
Vitvi02g01241	Vitvi02g01241_t001	29760.VIT_02s0087g00490.t01
Vitvi13g04397	Vitvi13g04397_t001	
Vitvi01g04079	Vitvi01g04079_t001	
Vitvi15g04400	Vitvi15g04400_t001	
Vitvi09g04085	Vitvi09g04085_t001	
Vitvi09g00060	Vitvi09g00060_t001	29760.VIT_09s0002g00830.t01
Vitvi01g00922	Vitvi01g00922_t001	
Vitvi06g00440	Vitvi06g00440_t001	
Vitvi00g04511	Vitvi00g04511_t001	
Vitvi01g00371	Vitvi01g00371_t001	
Vitvi08g04145	Vitvi08g04145_t001	
